Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,Mid Length Keratin Treatment,- Fixed Price,Rs:13000,https://mahircompany.com/mid-length-keratin-treatment,image3/mahir_166.jpg
MahirCompany,Hip Length Keratin Treatment,- Fixed Price,Rs:18000,https://mahircompany.com/hip-length-keratin-treatment,image3/mahir_167.jpg
MahirCompany,Shoulder Length Hair Rebonding,- Fixed Price,Rs:12000,https://mahircompany.com/shoulder-length-hair-rebonding,image3/mahir_168.jpg
MahirCompany,Mid Length Hair Rebonding,- Fixed Price,Rs:16000,https://mahircompany.com/mid-length-hair-rebonding,image3/mahir_169.jpg
MahirCompany,Hip Length Hair Rebonding,- Fixed Price,Rs:20000,https://mahircompany.com/hip-length-hair-rebonding,image3/mahir_170.jpg
MahirCompany,Shoulder Length Highlights,- Without Base Color,Rs:10000,https://mahircompany.com/shoulder-length-highlights,image3/mahir_171.jpg
MahirCompany,Mid Length Highlights,- Without Base Color,Rs:13000,https://mahircompany.com/mid-length-highlights,image3/mahir_172.jpg
MahirCompany,Hip Length Highlights,- Without Base Color,Rs:18000,https://mahircompany.com/hip-length-highlights,image3/mahir_173.jpg
MahirCompany,Shoulder Length Lowlights,- Without Base Color,Rs:10000,https://mahircompany.com/shoulder-length-lowlights,image3/mahir_174.jpg
MahirCompany,Mid Length Lowlights,- Without Base Color,Rs:13000,https://mahircompany.com/mid-length-lowlights,image3/mahir_175.jpg
MahirCompany,Hip Length Lowlights,- Without Base Color,Rs:18000,https://mahircompany.com/hip-length-lowlights,image3/mahir_176.jpg
MahirCompany,Shoulder Length Streaking,- Without Base Color,Rs:10000,https://mahircompany.com/shoulder-length-streaking,image3/mahir_177.jpg
MahirCompany,Mid length Streaking,- Without Base Color,Rs:13000,https://mahircompany.com/mid-length-streaking,image3/mahir_178.jpg
MahirCompany,Hip Length Streaking,- Without Base Color,Rs:18000,https://mahircompany.com/hip-length-streaking,image3/mahir_179.jpg
MahirCompany,Full Body Fruit Wax Except Face,- Discounted Price,Rs:6100,https://mahircompany.com/full-body-fruit-wax-except-face,image3/mahir_180.jpg
MahirCompany,Half Legs-Half Arms with Fruit Wax,- Discounted Price,Rs:2800,https://mahircompany.com/half-legshalf-arms-with-fruit-wax,image3/mahir_181.jpg
MahirCompany,Bikini Wax And Under Arm With Fruit Wax,- Discounted Price,Rs:2900,https://mahircompany.com/bikini-wax-and-under-arm-with-fruit-wax,image3/mahir_182.jpg
MahirCompany,Underarms-Full Arms- with Sugar Wax,- Discounted Price,Rs:2400,https://mahircompany.com/underarmsfull-arms-with-sugar-wax,image3/mahir_183.jpg
MahirCompany,Full Legs Waxing With Sugar Wax,- Discounted Price,Rs:2400,https://mahircompany.com/full-legs-waxing-with-sugar-wax,image3/mahir_184.jpg
MahirCompany,Full Body Sugar Wax Except Face,- With Sugar Wax,Rs:4500,https://mahircompany.com/full-body-sugar-wax-except-face,image3/mahir_185.jpg
MahirCompany,Waxing - Full Face Wax,- Discounted Price,Rs:2400,https://mahircompany.com/waxing-full-face-wax,image3/mahir_186.jpg
MahirCompany,Half Legs And Half Arms with Sugar Wax,- Discounted Price,Rs:2400,https://mahircompany.com/half-legs-and-half-arms-with-sugar-wax,image3/mahir_187.jpg
